track_name,track_uri,previewUrl
Relieve Him of His Wand / Newt Releases the Thunderbird / Jacob’s Farewell,spotify:track:4LBJx57ztXJcHgBDrNpGzI,https://p.scdn.co/mp3-preview/fffe20b063d007ca9b1cbbfbd49e328e2b82d54f
Poor Leno,spotify:track:5cxRbfQWrT4NZ2msbtSx4H,https://p.scdn.co/mp3-preview/fff8e7b108791e84c7ad0c2620c7a0d6a2c8ec81
Otan Ponao To Glentao,spotify:track:09WwV5B6qiBL2Koo46Cu4K,https://p.scdn.co/mp3-preview/fff32bf95bee6963e3fadeb77d2bb86f3e6456a8
Processed Beats,spotify:track:2mj0Vf7UepRY8x2YzqtOME,https://p.scdn.co/mp3-preview/fff2c2703f3c1c472f313ed6e987e5ac8272f430
Wontcha Come Home,spotify:track:6Dc4jXy29Drcvh5KPvNAqU,https://p.scdn.co/mp3-preview/fff28dc8345c7a8a9e08ed7eaee3a19b43a218aa
Jane S. Piddy,spotify:track:6cnT8D9rlhREOtgl6wG8dx,https://p.scdn.co/mp3-preview/fff1a1bea11b9172ae90ca44baed0a776bd4d4a8
Yesterdays,spotify:track:2JCWnsNbKGJpF0337l3Mrt,https://p.scdn.co/mp3-preview/fff09f8294814e339c2b0c63d76f6c22d868f98d
Land's End,spotify:track:453SgkSxdy14SyyAcHstry,https://p.scdn.co/mp3-preview/ffef8d26ba7d5aa393358fd3fb69abcc29154db4
Lost Weekend,spotify:track:2rzQSDMRbe5RnCaNq410xp,https://p.scdn.co/mp3-preview/ffee762373208daabacec7c44a9ffeba127da3ea
Long Way,spotify:track:4j1GnfShqs2svB8g2t8lPn,https://p.scdn.co/mp3-preview/ffe9d99125a912e81278beb3f2210d5010f871b1
Drowning in the Blues,spotify:track:5f6PCDyqPCSe15xTNnqA5M,https://p.scdn.co/mp3-preview/ffe978493cb4d9444660a414345ea5fddb868182
He's the Wizard,spotify:track:3cueTwM54U1o6Nny3lxzQG,https://p.scdn.co/mp3-preview/ffe83a89e40cfd1c9e8c09a7c9660682233f7fb1
My Favorite Things,spotify:track:0lwgOkUa46GDsPx8ZZaOry,https://p.scdn.co/mp3-preview/ffe7bfda8b1ce00c048d5baf249d8efdbd9db3be
You Ain't Gotta Lie (Ta Kick It) - Feat. Chris Rock,spotify:track:1o05oaGw3LhKSY3XFyhLJr,https://p.scdn.co/mp3-preview/ffe57f3e30f614ad935604bf9129d573f615d9e6
Temporary Angel,spotify:track:4nDF65rWu1uM1EqZEbgBW5,https://p.scdn.co/mp3-preview/ffe4c58c9f915c4f7eed774637997b9cda0fc2e5
Hills And Horizons,spotify:track:37UVVInsqHZkbkKAi6fkgX,https://p.scdn.co/mp3-preview/ffe476d8c713613436d27e658136028c3c8170de
Flex Your Way Out,spotify:track:0b1UIUbOwe4tObMfbuonnW,https://p.scdn.co/mp3-preview/ffe29af091530de71d28ec14c29cdfc41733c767
Purple Toe,spotify:track:2a7X6xKFcF3iXghr8PuFkR,https://p.scdn.co/mp3-preview/ffe18bb39b0824a93fe91057b82df40127e60466
Line Up,spotify:track:4NKR77RM92DlVYmcLn79HW,https://p.scdn.co/mp3-preview/ffe058c4f599229b945736f773208e4cb74a68fe
#iWantDat (feat. Problem & Bad Lucc),spotify:track:2c1bVZgEu1ExhLdWpIcf1L,https://p.scdn.co/mp3-preview/ffdbdf0a97fd4a8d2d818083ec947373d996c92c
Da Streetz,spotify:track:1ZRmECkDcZa6OuRmwVG5fd,https://p.scdn.co/mp3-preview/ffdab58dc989fb762504e321c0c5f06de91ce87d
She's A Woman - Remastered,spotify:track:6vsb1bU8oW7iqtjH2GeEaS,https://p.scdn.co/mp3-preview/ffd903ef3d7d0fc94a12476a7ca1cb4567370ef9
Dwell,spotify:track:1EMlPXrAclusfeqG4PC3sm,https://p.scdn.co/mp3-preview/ffd7d582412b67f21419a27b5f60e20430deb3ba
Kiss from a Rose,spotify:track:2VdmtbDiJ8K335JH45rEyp,https://p.scdn.co/mp3-preview/ffd69ab794fc9a678b1b0ba49c4e844e74c17caf
Stay as you are,spotify:track:5diQ6jKmWB1x6MzA9EYH2O,https://p.scdn.co/mp3-preview/ffd64da8259ceed9eb81ba259f7cd398d2815ddc
Good Morning Ladies,spotify:track:0OBdHjWWIKHNKV3IQzDEUB,https://p.scdn.co/mp3-preview/ffd54f8d557c1360f4cfcb5ea8e5a4d66ff08921
Sufriendo a Solas,spotify:track:1miyW3togep1VF7qzdRB5g,https://p.scdn.co/mp3-preview/ffd09a8e57bc4dac85730fb84eef949ee096947d
Rescue Me,spotify:track:101CJaBwF3tnpYFuXyZB98,https://p.scdn.co/mp3-preview/ffcf8e259776597b4b000ca8a91f68db7ba75573
Mimi,spotify:track:3dh8V10GdRwgbvAlozr5ub,https://p.scdn.co/mp3-preview/ffccd860f941e8a3423d0ada12373424593538a8
You're Not Alone,spotify:track:7id7pCUgsv2S8BRpAvBLo0,https://p.scdn.co/mp3-preview/ffcc57fea2a60cb7b6fd0288d6be732e5ff0e872
DKR,spotify:track:1iDQ2zCOU1uYeR8QcpqUZb,https://p.scdn.co/mp3-preview/ffcacd55d2ade08091f6e873edfce2a92e88de34
I'm Still In Love With You,spotify:track:2Bh2lDeuQfRTOsmvKRfgyQ,https://p.scdn.co/mp3-preview/ffca38b60bc570a3ca2675a40b732c128885b6b8
Man Up,spotify:track:4ekR6beIbQj6IW3rVypkI6,https://p.scdn.co/mp3-preview/ffc932619c67184c12406dd6dc7a8e9e02aed0e5
Things We Never Say,spotify:track:1LpuXKO66XSSep1ohgjzmk,https://p.scdn.co/mp3-preview/ffc0e56213269795a0668d6a0a67f07a1ee7176d
County Line,spotify:track:4bGruMBTJCLszM8fG5pCnC,https://p.scdn.co/mp3-preview/ffc00c55c6acec060f34eb70a787cfc6fa9ea30e
Who Will I Be?,spotify:track:57SoN3xnEyczFNXJP6roih,https://p.scdn.co/mp3-preview/ffb8fd656f023ddc22cb875a9101256adf1d1b45
Method of Control,spotify:track:2xKXmC7CbPLsa5j94CwUQe,https://p.scdn.co/mp3-preview/ffb6e191739aa7de1c9c3d40a8bb95b37400cf66
Maunaleo,spotify:track:503mB92m3gvzgiN4tXa3Ab,https://p.scdn.co/mp3-preview/ffb58d810603f75eb1e3c31e922b073cbe8a887b
"The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"" (Summer): I. Allegro non moto",spotify:track:6aiMqihBkSbXnKayTVEekS,https://p.scdn.co/mp3-preview/ffb343a6844e4c1c9bed5bea577429fdf781af76
Legwarmrs,spotify:track:5m6cgfXBUiyZwzWYda2aGR,https://p.scdn.co/mp3-preview/ffb30504ac286c0c990e1dadfcb7a83bfa493d3b
A-Yo,spotify:track:46sdnkPkaU1aWaJqZkZtwJ,https://p.scdn.co/mp3-preview/ffb2b8729d8aa98f002bc0f492ecbe74c78e8978
ASBOys,spotify:track:2KasfMtde9wCK7YmxwBkwe,https://p.scdn.co/mp3-preview/ffac3b701013f6393bbbd22a5dc6544223e4ccc4
Reunite For The Night,spotify:track:1jNtXwQFwxfo5PmueZxMNi,https://p.scdn.co/mp3-preview/ffac3574b61fde0877ac6d5a0e51c676c7e56ec3
Better Than Love,spotify:track:6HWGLNbv50Sw8Jg5VHtoCf,https://p.scdn.co/mp3-preview/ffab65e5c3bc0bc5822cf20c7e15f6caf3464371
Part Of Me,spotify:track:1mxklavk4MMOF409y5ojJW,https://p.scdn.co/mp3-preview/ffab3da4af506eefbd8f09e0de66b750f84633d9
Pink Guitar,spotify:track:4OioUN0asdphAgJ9X76qcp,https://p.scdn.co/mp3-preview/ffaac6e2aa54435d70041719be9d5ba2e942ac37
139,spotify:track:1m4X2SOIToUX96AGIzAkma,https://p.scdn.co/mp3-preview/ffaa0aaf046aa5c13cecb482c91ff2b706037745
Lemonworld,spotify:track:0PFLUb13SISgyUekNWuJ4e,https://p.scdn.co/mp3-preview/ffa93aa4e4e774c4f3cb22266357d1a6a38f4aae
Bless Your Heart,spotify:track:6EFHWC8TP4BhKuy4HUF81H,https://p.scdn.co/mp3-preview/ffa72ef9ca99289e92c1ed5914bb04a1b8075969
Party (feat. Dolo the Artist & Jet Riley),spotify:track:7lCEEnQLQXsqymzuDOJ0YF,https://p.scdn.co/mp3-preview/ffa57e919f33a1f9b90c31ad39b139107fd0c1d3
SLEEP TIGHT,spotify:track:3WOE65wqddKwVF1NaiHNjy,https://p.scdn.co/mp3-preview/ffa002f4b0d3721e0cd4b4ad25ab26213ddbd90f
Lover's Spit,spotify:track:2wRYQnXEFE1CcWOEBAAxsS,https://p.scdn.co/mp3-preview/ff9f222f1615847bb987909106c513aea4e82d63
Never Knock - Live from Spotify House SXSW '16,spotify:track:5oVL1y2YVeHM2QUmn6avUG,https://p.scdn.co/mp3-preview/ff9edf5c077560e422b2d0d877b6358e00ac8125
Able,spotify:track:1EWrPVourqXde6hCDetMjm,https://p.scdn.co/mp3-preview/ff9ede3d70bb13368fe8c339bccc800e7b6b61fd
Take Yo' Praise,spotify:track:72gugwdcoiR4AcKzdhx9E0,https://p.scdn.co/mp3-preview/ff9e595479557087a06624963090ecb72906f23c
Stay Forever,spotify:track:7ln53hzSdrXrucU2gMlWTt,https://p.scdn.co/mp3-preview/ff9e1c87641dbc303a79c693502c4485a238add5
Watchu Gon' Do About It?,spotify:track:3BnJ3KUnETUblQdFvvBrAx,https://p.scdn.co/mp3-preview/ff9de1d25ed8db09d9c70255ea8e2130c4fca975
Love is a Drug V. 2,spotify:track:111BLbD8pgS6mjqRilEeqP,https://p.scdn.co/mp3-preview/ff9dccc41deca1d5801cdb0fd1d79ef185c21162
Alice - Extended Version,spotify:track:59SF7TCAFmkq8rDxc871lE,https://p.scdn.co/mp3-preview/ff9aa106bc38c0f1a9051926bc27194d9371a4c1
That's What Makes This House a Home,spotify:track:08t7R5wVPqGfuSYihdHh2E,https://p.scdn.co/mp3-preview/ff99e6483f5dca65be773eb04a069d9e3db3405d
Get Down,spotify:track:0cbUUUDFBlWbrUAYdBySj9,https://p.scdn.co/mp3-preview/ff99dd1c7b513efc8ff435d117a43f1c1fdde499
Childhood's,spotify:track:4SDo4af86faBOMzOH9u369,https://p.scdn.co/mp3-preview/ff97bafc57f88b6ecab624c98de42f612c4f7536
First Journey,spotify:track:7HFeahWOIZPsfBq3o9NZLD,https://p.scdn.co/mp3-preview/ff97845ede8823f54017713463f2e7aba035150b
Caution,spotify:track:6gBqmJx9tcOMGFBL5zVqYz,https://p.scdn.co/mp3-preview/ff96022fb710e62094863f1955e656d1c21197e7
Sorrow,spotify:track:5UXW4T4W80gThrchHR1Mgt,https://p.scdn.co/mp3-preview/ff95de8bc0276826224226d6b8c0e765ef32b108
I Want You,spotify:track:1LNpnm5RrX27JJK888Etmb,https://p.scdn.co/mp3-preview/ff924a10594720169c8d9cb68c4709fb9846e1d3
Symbols,spotify:track:0XKcCa2PjHL4nPFUA7Q4RN,https://p.scdn.co/mp3-preview/ff8f87c3b4501f44ea2e50cc236242f9e3b48bfe
Christmas Isn't Christmas 'Til You Get Here,spotify:track:5HEoFTnu7lSHRAVc2PYln5,https://p.scdn.co/mp3-preview/ff8f0a689bb128960e7d8d8762f3283ac423088f
Slippin' Into Darkness,spotify:track:1jcTfIiBUz35bBqgHYItP6,https://p.scdn.co/mp3-preview/ff8eed28104cc6f5f399091296f111d1c70afbc8
Be Lifted Up,spotify:track:6yAhZj3p6h6xzwaIKiVhWA,https://p.scdn.co/mp3-preview/ff8e492716c6d2d8e5e28afd9fee94436d936c22
Meat +,spotify:track:7d8DSIQnnd2ell85LDrlZF,https://p.scdn.co/mp3-preview/ff8df4ee137b50aa73f9009187e819346377a94b
High School Party (Girl),spotify:track:73j1SrvKglS6OeAFJlk8ff,https://p.scdn.co/mp3-preview/ff8a5f39d32cb259787ec68ce17fbaea0f340fe1
See You Again,spotify:track:2AvBZVCyvjHmy0Yi1ksK6o,https://p.scdn.co/mp3-preview/ff887286a69f37b5b54668160dc1ad78df9a93dd
Upset,spotify:track:0qTD72YSt3w7GFiYSU2oMM,https://p.scdn.co/mp3-preview/ff8668477eeb8b2e648d93d35975a869e0ce7cab
Spirograph,spotify:track:7sJV2Mi5V5cNCEWpIaXIgL,https://p.scdn.co/mp3-preview/ff83e1414ecd5f3cc25366e39e881f226d8571eb
We Both Reached For The Gun,spotify:track:2VpCSXXc3c1tcnKECvmb55,https://p.scdn.co/mp3-preview/ff831ce115fa098f3afaeffcb0d7540b8a62a980
Hear You Coming,spotify:track:6TBq8N5gRkT7yMYv4nI4Jt,https://p.scdn.co/mp3-preview/ff81730ac47d6df6c06ed5e3532c1692f7ae6d02
Stranger,spotify:track:0thJTUpOEfDFeqsEcSvwo3,https://p.scdn.co/mp3-preview/ff7d16600364707bcc991c63f7f9d1fea5368b18
Beachy Girl,spotify:track:0uHVEoupZxCpOlZSXwnXtw,https://p.scdn.co/mp3-preview/ff7c7309e1b950468d0612f1a7ffd9f2fbd63e3c
Burning In The Sun,spotify:track:5QCMy34e1t3ctHXv2y8vXk,https://p.scdn.co/mp3-preview/ff7c3297b8555a2a01e25aa84cc77ef4f499707e
Losing Keys,spotify:track:2CPeoeVdpPvs8XVf2cJ1dL,https://p.scdn.co/mp3-preview/ff7a2e92c7dd898b6f7ba96f33faeec04cc963db
Crank That S**t Up,spotify:track:39zankhh89DKYbglQNOQQu,https://p.scdn.co/mp3-preview/ff78bf3b7cd3679d498bbf2cad2b6dc8a0350c20
No Moon At All - 1992 - Remaster,spotify:track:1owGm6QDclYTJ40SMz97rW,https://p.scdn.co/mp3-preview/ff784a8ec4e647c8a9fc46b53e821eb538b1a58e
River,spotify:track:4xMw2mNTcUYaruBEWTWlmd,https://p.scdn.co/mp3-preview/ff781819bee7790079d32b8f1d9bc937bd82751c
Driven (feat. Safe),spotify:track:7JsEfbPGg1KCGq1roy9MyD,https://p.scdn.co/mp3-preview/ff7527e9a93597275d205597d540b5e5da6c5ed9
The Christmas Song (Merry Christmas to You) - 1953 Version,spotify:track:3SJVlnm3WBO4zMuWh2zDOP,https://p.scdn.co/mp3-preview/ff6fc455094d15e6d9656ed7ac25971b34e179bc
Beans Smell,spotify:track:4B8GtnXpEqhxun2kzZfGpf,https://p.scdn.co/mp3-preview/ff6f67f02030265bf9d6be9972b92504de4a523d
Intensify My Being,spotify:track:2vUxbt7TGAhPpHzIVE4nu0,https://p.scdn.co/mp3-preview/ff6f266b76764a91f97812a3bd6cf3ecabc2c11b
Interlude,spotify:track:0QXehgImD8pDxFhUst9Q62,https://p.scdn.co/mp3-preview/ff6e7ac3c83637213f21ac1be46bd56dbde39d43
Lo Boob Oscillator,spotify:track:2GBHOI99bnVDozc6wCI5XX,https://p.scdn.co/mp3-preview/ff6ba07ba54fab3e54c97d86610623a1364d4e37
Holiday,spotify:track:5vkkhwtKWnGkFu3tagE71D,https://p.scdn.co/mp3-preview/ff6b0450d2e87ba37e54f558e25be105f8a44360
Mr. Hughes,spotify:track:6sn6dIyRwH6MEwcoYNhzJp,https://p.scdn.co/mp3-preview/ff69cbda7b872caecdf1857870e68a43edb71855
Skyfire,spotify:track:3u97FbIfIUSWX8qvkxs5pB,https://p.scdn.co/mp3-preview/ff65a34eb5d9e18b3c4e2eac39d58d281bbf2eaf
Hustler - Solomun Remix,spotify:track:7nQlL2qz48N3TGFIl7CpWw,https://p.scdn.co/mp3-preview/ff60a24ff6bdc6bfa508bf089e09d93547b1c032
Crazy Things I Do,spotify:track:3ZIBZP276sFN3VZNY2hj5D,https://p.scdn.co/mp3-preview/ff5fa9b7e86ce3c1cebd8489faa781f6527b7e2d
Enemy,spotify:track:2ReHMO9tRsI8a6Tk53CtOp,https://p.scdn.co/mp3-preview/ff5dfae6a4af8e2923a6b966e2a679607acf6bae
Efsane,spotify:track:6hchNXrkhU85aacv2gbYuO,https://p.scdn.co/mp3-preview/ff5c8b9adefc5e836df2920cee00d42f4c624c26
U Ain't Gonna Take My Life,spotify:track:6jHjSgnjFZb76vIyizixHu,https://p.scdn.co/mp3-preview/ff5a513f64ad08ee25b400248636e3858416a3f5
Springsteen/Born To Run - Medley/Live,spotify:track:5FjbUVKHztlQX1TURqnU6d,https://p.scdn.co/mp3-preview/ff5a3e208e95b42f61b644082391a724be9803ba
Lie to Me,spotify:track:7K8I6IgyweAUySSunJbXKo,https://p.scdn.co/mp3-preview/ff57748a6c02662db5c10f4acc48b77832ec93c9
You Ain't Livin' Till You're Lovin' - Stereo Version,spotify:track:25ym9KP7XT44nK7zRPXi8L,https://p.scdn.co/mp3-preview/ff57567a8a22631262b7c8d0113eac77022d8509
The Nexus,spotify:track:1Znib1Bzdyaml9oKbVmthf,https://p.scdn.co/mp3-preview/ff56fdd8a6c1b23c7fbe99dab5e351b567bca17f
Honestly,spotify:track:5a9r9PlBULQ66szT9N4yxJ,https://p.scdn.co/mp3-preview/ff55716c2f620759e7a0ed01cc810308544a5049
Standing on the Moon,spotify:track:62x1aKEqGmLsMAEWVMRZTv,https://p.scdn.co/mp3-preview/ff52cf30f0610d1efbdb4d799f2294121f95ce43
Six Cold Feet of Ground,spotify:track:0yyzJCuyU2fOZxWylcjZYa,https://p.scdn.co/mp3-preview/ff4fc753319ea48792e53e5a6e950e8d5f829141
Armando (Intro),spotify:track:0zLKzH2mLC4kdZ3XgIWblx,https://p.scdn.co/mp3-preview/ff4e2866ada224a3eadc4924be22fb33eaa51985
