playlist_idx,recommended_tracks
705,"[np.float64(9143.0), np.float64(121477.0), np.float64(177774.0), np.float64(51015.0), np.float64(134135.0), np.float64(56974.0), np.float64(113737.0), np.float64(132320.0), np.float64(225961.0), np.float64(109202.0), np.float64(91819.0), np.float64(70403.0), np.float64(179033.0), np.float64(11632.0), np.float64(246641.0), np.float64(183403.0), np.float64(39544.0), np.float64(143448.0), np.float64(164326.0), np.float64(43730.0), np.float64(97353.0), np.float64(41041.0), np.float64(214586.0), np.float64(103200.0), np.float64(177197.0), np.float64(190492.0), np.float64(220101.0), np.float64(203247.0), np.float64(32222.0), np.float64(115338.0), np.float64(93821.0), np.float64(178527.0), np.float64(26288.0), np.float64(45125.0), np.float64(156313.0), np.float64(59024.0), np.float64(148602.0), np.float64(117652.0), np.float64(244449.0), np.float64(208382.0), np.float64(150297.0), np.float64(100921.0), np.float64(15064.0), np.float64(101416.0), np.float64(19181.0), np.float64(14226.0), np.float64(168074.0), np.float64(199549.0), np.float64(56053.0), np.float64(10778.0)]"
303,"[np.float64(4207.0), np.float64(32222.0), np.float64(45184.0), np.float64(9655.0), np.float64(212361.0), np.float64(131106.0), np.float64(120293.0), np.float64(152510.0), np.float64(207183.0), np.float64(185438.0), np.float64(240663.0), np.float64(108167.0), np.float64(66129.0), np.float64(193014.0), np.float64(76079.0), np.float64(84506.0), np.float64(117749.0), np.float64(220093.0), np.float64(93283.0), np.float64(105768.0), np.float64(105508.0), np.float64(123251.0), np.float64(171779.0), np.float64(175140.0), np.float64(239529.0), np.float64(195933.0), np.float64(98412.0), np.float64(58004.0), np.float64(197588.0), np.float64(137419.0), np.float64(185826.0), np.float64(42133.0), np.float64(92798.0), np.float64(197072.0), np.float64(164456.0), np.float64(136879.0), np.float64(54535.0), np.float64(200181.0), np.float64(73682.0), np.float64(247444.0), np.float64(135686.0), np.float64(78314.0), np.float64(227980.0), np.float64(29240.0), np.float64(121224.0), np.float64(106634.0), np.float64(93878.0), np.float64(46507.0), np.float64(232491.0), np.float64(75567.0)]"
807,"[np.float64(87268.0), np.float64(177774.0), np.float64(29082.0), np.float64(43730.0), np.float64(11632.0), np.float64(130370.0), np.float64(68607.0), np.float64(168074.0), np.float64(63412.0), np.float64(220101.0), np.float64(198218.0), np.float64(102956.0), np.float64(204026.0), np.float64(121477.0), np.float64(21231.0), np.float64(245848.0), np.float64(208382.0), np.float64(232048.0), np.float64(216970.0), np.float64(9143.0), np.float64(85431.0), np.float64(95504.0), np.float64(93821.0), np.float64(151923.0), np.float64(115338.0), np.float64(14226.0), np.float64(21646.0), np.float64(38462.0), np.float64(156313.0), np.float64(59024.0), np.float64(103769.0), np.float64(159189.0), np.float64(120748.0), np.float64(179230.0), np.float64(169346.0), np.float64(69365.0), np.float64(47868.0), np.float64(210816.0), np.float64(132320.0), np.float64(91591.0), np.float64(73777.0), np.float64(238840.0), np.float64(166509.0), np.float64(4612.0), np.float64(43672.0), np.float64(17823.0), np.float64(9518.0), np.float64(224653.0), np.float64(180210.0), np.float64(120589.0)]"
564,"[np.float64(9143.0), np.float64(177774.0), np.float64(121477.0), np.float64(51015.0), np.float64(134135.0), np.float64(109202.0), np.float64(11632.0), np.float64(220101.0), np.float64(113737.0), np.float64(132320.0), np.float64(32222.0), np.float64(91819.0), np.float64(246641.0), np.float64(87268.0), np.float64(4207.0), np.float64(43730.0), np.float64(70403.0), np.float64(45184.0), np.float64(93821.0), np.float64(143448.0), np.float64(214586.0), np.float64(115338.0), np.float64(156313.0), np.float64(59024.0), np.float64(179033.0), np.float64(41041.0), np.float64(208382.0), np.float64(168074.0), np.float64(19181.0), np.float64(148602.0), np.float64(17823.0), np.float64(190492.0), np.float64(197588.0), np.float64(82207.0), np.float64(178527.0), np.float64(164326.0), np.float64(97353.0), np.float64(151923.0), np.float64(68607.0), np.float64(14226.0), np.float64(117652.0), np.float64(186080.0), np.float64(29082.0), np.float64(10778.0), np.float64(67484.0), np.float64(227482.0), np.float64(33185.0), np.float64(3695.0), np.float64(245848.0), np.float64(63412.0)]"
148,"[np.float64(39909.0), np.float64(177774.0), np.float64(121477.0), np.float64(51015.0), np.float64(9143.0), np.float64(37939.0), np.float64(117402.0), np.float64(113737.0), np.float64(40981.0), np.float64(87268.0), np.float64(82207.0), np.float64(40743.0), np.float64(219722.0), np.float64(184925.0), np.float64(193941.0), np.float64(23543.0), np.float64(70403.0), np.float64(246641.0), np.float64(143448.0), np.float64(192049.0), np.float64(109202.0), np.float64(249513.0), np.float64(126456.0), np.float64(71825.0), np.float64(247811.0), np.float64(19181.0), np.float64(111863.0), np.float64(42888.0), np.float64(102821.0), np.float64(17823.0), np.float64(233688.0), np.float64(116891.0), np.float64(214586.0), np.float64(78923.0), np.float64(66056.0), np.float64(53034.0), np.float64(176401.0), np.float64(164326.0), np.float64(24934.0), np.float64(107850.0), np.float64(91819.0), np.float64(32222.0), np.float64(227482.0), np.float64(32055.0), np.float64(30185.0), np.float64(239420.0), np.float64(43248.0), np.float64(220101.0), np.float64(102468.0), np.float64(62061.0)]"
288,"[np.float64(132589.0), np.float64(195665.0), np.float64(197588.0), np.float64(8138.0), np.float64(83741.0), np.float64(177397.0), np.float64(236072.0), np.float64(82397.0), np.float64(32234.0), np.float64(237495.0), np.float64(174487.0), np.float64(97065.0), np.float64(233582.0), np.float64(8788.0), np.float64(205041.0), np.float64(49732.0), np.float64(252213.0), np.float64(48056.0), np.float64(140325.0), np.float64(111627.0), np.float64(229600.0), np.float64(61399.0), np.float64(245021.0), np.float64(137024.0), np.float64(180104.0), np.float64(237818.0), np.float64(117593.0), np.float64(133385.0), np.float64(206557.0), np.float64(117352.0), np.float64(20224.0), np.float64(65511.0), np.float64(172474.0), np.float64(131024.0), np.float64(33007.0), np.float64(131429.0), np.float64(249136.0), np.float64(132314.0), np.float64(188926.0), np.float64(164095.0), np.float64(227992.0), np.float64(119618.0), np.float64(68959.0), np.float64(173433.0), np.float64(117483.0), np.float64(157162.0), np.float64(191316.0), np.float64(239534.0), np.float64(41887.0), np.float64(169949.0)]"
582,"[np.float64(32222.0), np.float64(4207.0), np.float64(45184.0), np.float64(66129.0), np.float64(160078.0), np.float64(42981.0), np.float64(177774.0), np.float64(193014.0), np.float64(70687.0), np.float64(226601.0), np.float64(43470.0), np.float64(9655.0), np.float64(82207.0), np.float64(219213.0), np.float64(224654.0), np.float64(207772.0), np.float64(100077.0), np.float64(121477.0), np.float64(170436.0), np.float64(232491.0), np.float64(9143.0), np.float64(112390.0), np.float64(26838.0), np.float64(81826.0), np.float64(197588.0), np.float64(103620.0), np.float64(160507.0), np.float64(73682.0), np.float64(123251.0), np.float64(169090.0), np.float64(195933.0), np.float64(132589.0), np.float64(249916.0), np.float64(93843.0), np.float64(114360.0), np.float64(113711.0), np.float64(76079.0), np.float64(201233.0), np.float64(14769.0), np.float64(158105.0), np.float64(211861.0), np.float64(9211.0), np.float64(75567.0), np.float64(144864.0), np.float64(34347.0), np.float64(51805.0), np.float64(200181.0), np.float64(16775.0), np.float64(13428.0), np.float64(212361.0)]"
382,"[np.float64(32222.0), np.float64(160078.0), np.float64(195665.0), np.float64(127063.0), np.float64(14114.0), np.float64(193014.0), np.float64(119126.0), np.float64(61399.0), np.float64(82397.0), np.float64(88467.0), np.float64(140325.0), np.float64(223613.0), np.float64(132589.0), np.float64(63735.0), np.float64(208986.0), np.float64(75567.0), np.float64(56686.0), np.float64(164397.0), np.float64(221976.0), np.float64(4207.0), np.float64(21586.0), np.float64(76259.0), np.float64(164343.0), np.float64(198220.0), np.float64(23543.0), np.float64(73682.0), np.float64(111863.0), np.float64(82207.0), np.float64(210292.0), np.float64(51805.0), np.float64(192049.0), np.float64(61770.0), np.float64(32206.0), np.float64(80006.0), np.float64(170436.0), np.float64(56909.0), np.float64(187211.0), np.float64(194875.0), np.float64(37939.0), np.float64(103175.0), np.float64(161016.0), np.float64(249096.0), np.float64(247512.0), np.float64(8788.0), np.float64(95136.0), np.float64(169949.0), np.float64(179202.0), np.float64(27407.0), np.float64(178288.0), np.float64(186152.0)]"
425,"[np.float64(39909.0), np.float64(177774.0), np.float64(40981.0), np.float64(117402.0), np.float64(121477.0), np.float64(219722.0), np.float64(37939.0), np.float64(9143.0), np.float64(46394.0), np.float64(184925.0), np.float64(53034.0), np.float64(42921.0), np.float64(51015.0), np.float64(113737.0), np.float64(246641.0), np.float64(23543.0), np.float64(100860.0), np.float64(247811.0), np.float64(204466.0), np.float64(71825.0), np.float64(70403.0), np.float64(132320.0), np.float64(133688.0), np.float64(107850.0), np.float64(138183.0), np.float64(111863.0), np.float64(45286.0), np.float64(178454.0), np.float64(193941.0), np.float64(223613.0), np.float64(78923.0), np.float64(68607.0), np.float64(151923.0), np.float64(87268.0), np.float64(116891.0), np.float64(3695.0), np.float64(227482.0), np.float64(245000.0), np.float64(143448.0), np.float64(233688.0), np.float64(134135.0), np.float64(109202.0), np.float64(179033.0), np.float64(214586.0), np.float64(24869.0), np.float64(91819.0), np.float64(176401.0), np.float64(2249.0), np.float64(19181.0), np.float64(17801.0)]"
144,"[np.float64(46394.0), np.float64(39909.0), np.float64(40981.0), np.float64(121477.0), np.float64(117402.0), np.float64(178454.0), np.float64(51015.0), np.float64(24869.0), np.float64(17801.0), np.float64(219722.0), np.float64(177774.0), np.float64(113737.0), np.float64(246641.0), np.float64(40743.0), np.float64(37939.0), np.float64(98263.0), np.float64(116891.0), np.float64(193185.0), np.float64(100860.0), np.float64(155254.0), np.float64(159098.0), np.float64(53034.0), np.float64(42921.0), np.float64(71135.0), np.float64(23543.0), np.float64(35855.0), np.float64(172071.0), np.float64(184925.0), np.float64(218657.0), np.float64(139074.0), np.float64(19904.0), np.float64(125877.0), np.float64(82207.0), np.float64(70403.0), np.float64(87950.0), np.float64(134135.0), np.float64(193254.0), np.float64(91819.0), np.float64(244449.0), np.float64(62764.0), np.float64(143448.0), np.float64(21231.0), np.float64(148602.0), np.float64(186056.0), np.float64(109202.0), np.float64(201458.0), np.float64(214586.0), np.float64(218810.0), np.float64(85431.0), np.float64(17823.0)]"
