playlist_idx,cluster,tracks_to_predict,random_recommendations,collaborative_filtering_recommendations,content_based_unweigted_recommendations,content_based_weigted_recommendations,hybrid_recommendations
2,3,"['232845' '111887' '144160' '10663' '216321' '138869' '63694' '72431'
 '108782' '175642']","[174804, 45667, 180239, 72464, 155677, 131180, 230485, 79250, 7727, 67332, 87841, 11091, 227457, 108428, 60597, 245738, 60312, 31911, 173778, 250255, 28052, 220329, 164697, 11334, 6511, 144219, 33206, 152373, 6828, 161697, 103416, 245855, 32543, 123444, 125566, 224827, 210274, 218320, 160436, 77863, 155390, 61077, 223512, 154780, 23155, 233625, 58705, 150431, 123971, 51268]","[174997, 175642, 186858, 72522, 111887, 55648, 157693, 199632, 206871, 218812, 196461, 208248, 102410, 125549, 35237, 232845, 84142, 31007, 221079, 234425, 78354, 22566, 101549, 43008, 87654, 145448, 84350, 125486, 189300, 242528, 197512, 166690, 97130, 216374, 140314, 225769, 1611, 108141, 53442, 70852, 108782, 168341, 20205, 135471, 32875, 72431, 237842, 233951, 82207, 203541]","[26657, 102881, 169451, 97130, 76387, 177055, 168149, 231109, 173524, 175642, 136468, 130032, 145133, 178920, 171412, 28819, 129035, 237275, 89781, 250441, 164184, 176295, 61465, 17801, 135471, 145047, 27063, 177736, 80171, 69200, 76632, 79611, 87942, 169389, 134077, 75654, 34168, 216909, 172071, 64892, 248148, 159098, 87902, 72286, 102475, 65305, 24869, 129186, 117402, 232497]","[44021, 153676, 129186, 58351, 130032, 135471, 19789, 28819, 194450, 97130, 105552, 150640, 26657, 76387, 159098, 129035, 235354, 218810, 10939, 61465, 219580, 178275, 145133, 177055, 119844, 71135, 80538, 184159, 175642, 19904, 102475, 50647, 13758, 112206, 185380, 210107, 169451, 217071, 170876, 84350, 95302, 207244, 230872, 113759, 3071, 171412, 246267, 178292, 87223, 3884]","[186858, 175642, 111887, 157693, 174997, 55648, 206871, 218812, 125549, 232845, 196461, 199632, 102410, 101549, 31007, 97130, 43008, 87654, 189300, 235367, 108141, 84142, 215457, 7627, 78354, 84350, 206045, 225769, 125486, 72431, 148285, 144160, 32875, 1611, 135471, 108782, 241834, 70852, 53442, 64853, 108224, 30714, 30241, 207513, 66940, 233951, 27490, 44009, 60047, 20205]"
7,1,"['48557' '142203' '66610' '16213' '112277' '43008' '208658' '86890'
 '191582' '44781']","[205630, 246877, 130193, 36681, 90295, 118324, 240255, 199017, 101815, 166963, 147805, 230275, 167830, 1227, 77017, 166660, 158173, 57762, 81290, 234832, 164438, 193286, 237723, 176109, 114477, 149746, 14922, 61091, 84897, 99875, 54281, 212132, 8595, 56631, 156521, 75614, 223654, 153880, 171631, 230528, 59951, 98981, 28744, 73788, 31670, 155771, 73659, 155447, 98469, 107697]","[191313, 111863, 163571, 89133, 216260, 237774, 34319, 208382, 219789, 232729, 246233, 189201, 47657, 177435, 219221, 44749, 244627, 168972, 161746, 101799, 251617, 126786, 172218, 208658, 5889, 57536, 227395, 165961, 77995, 191177, 180850, 140867, 185423, 113368, 153712, 35237, 161772, 168606, 249870, 249774, 250266, 22005, 143755, 88393, 6666, 183213, 178162, 122597, 217944, 47450]","[121753, 168149, 245519, 129186, 140469, 101378, 166739, 34959, 95510, 141508, 29052, 208248, 125269, 213791, 219637, 96667, 87806, 43962, 181215, 183688, 55235, 139238, 9041, 160054, 229551, 216354, 154321, 180201, 182297, 164949, 200152, 130227, 190917, 95724, 216287, 194008, 192267, 102680, 10182, 238815, 121736, 39746, 84255, 227901, 16134, 154072, 108177, 181683, 227894, 67182]","[102680, 129186, 147304, 60873, 229551, 194684, 247320, 7225, 52260, 25756, 16964, 227901, 84255, 102256, 153676, 29246, 80445, 185239, 183688, 74916, 38256, 27490, 216354, 142344, 115640, 235670, 9570, 95724, 89370, 21766, 152720, 84652, 250469, 63241, 166383, 6447, 92416, 154321, 46418, 87806, 112277, 24451, 168149, 111863, 47566, 123316, 115859, 153712, 29532, 164949]","[191313, 111863, 163571, 216260, 89133, 237774, 208382, 34319, 47657, 219789, 189201, 246233, 208658, 219221, 232729, 251617, 177435, 44749, 168972, 161746, 244627, 101799, 126786, 35237, 140867, 5889, 57536, 113368, 88393, 185423, 172218, 6666, 112277, 161772, 165961, 183213, 77995, 153712, 191177, 249774, 180850, 250266, 227395, 217729, 47450, 6200, 217944, 22005, 1287, 178162]"
10,0,"['89301' '74022' '221104' '218307' '229795' '129045' '24597' '222150'
 '135587' '217552']","[123988, 154415, 107915, 207660, 19850, 7725, 14175, 218165, 159576, 64974, 187917, 216556, 237758, 133123, 8205, 230413, 107791, 145750, 246491, 156691, 13292, 40411, 58, 140858, 110344, 74794, 97625, 62011, 227269, 237915, 241363, 172230, 102734, 50660, 194620, 123416, 174671, 181206, 198797, 158141, 192375, 47991, 230868, 132018, 226644, 110047, 58000, 213718, 79275, 203540]","[208248, 94251, 218307, 122853, 212881, 221104, 8706, 6666, 123705, 30287, 181349, 187591, 48713, 70641, 116522, 120481, 151180, 246233, 53989, 172211, 181839, 72679, 224295, 157887, 175799, 22429, 43211, 226515, 104659, 51549, 150151, 165858, 251617, 125282, 180201, 48557, 162121, 208658, 118100, 232710, 104413, 182466, 31768, 89036, 219637, 11192, 250228, 165899, 43867, 184785]","[137497, 208248, 83517, 3939, 26659, 234445, 64166, 219881, 235385, 153844, 249785, 169875, 79714, 32156, 63352, 59604, 167186, 29790, 251276, 241891, 14364, 223154, 237495, 208315, 112272, 96211, 144800, 121437, 107940, 232281, 30652, 154312, 29052, 164507, 85875, 129186, 9052, 131341, 37636, 133102, 57902, 97301, 154148, 12343, 158960, 74472, 215392, 79059, 223858, 82752]","[208248, 232281, 144800, 240182, 44263, 63352, 245084, 101816, 64837, 249785, 203517, 234445, 191177, 246990, 96091, 251276, 119775, 217340, 64166, 27701, 53201, 129429, 137497, 107627, 16827, 70529, 110438, 21217, 103098, 78929, 57996, 1481, 66971, 111424, 211850, 189505, 211433, 144609, 29052, 10113, 21081, 37869, 73807, 169875, 199228, 125190, 109660, 12059, 137675, 212990]","[208248, 94251, 218307, 8706, 122853, 212881, 6666, 221104, 123705, 181349, 151180, 48713, 187591, 70641, 53989, 120481, 30287, 181839, 172211, 157887, 224295, 116522, 175799, 104659, 246233, 72679, 150151, 22429, 125282, 43211, 251617, 232710, 226515, 48557, 219637, 51549, 118100, 208658, 184785, 165858, 182466, 102026, 162121, 205955, 11192, 24004, 68162, 250228, 165899, 31768]"
17,2,"['131069' '102197' '241039' '46103' '41621' '213083' '47522' '114738'
 '17295' '43658']","[117021, 227150, 234857, 240503, 162330, 37045, 170472, 29359, 1209, 125370, 150651, 29221, 170840, 136952, 49372, 187226, 108389, 129213, 41616, 242110, 12465, 165043, 194415, 155777, 16208, 185059, 237585, 223606, 195246, 67648, 169967, 112596, 115923, 139057, 195274, 160627, 134557, 221003, 68342, 60342, 58667, 234088, 32325, 40593, 198044, 183579, 64598, 138427, 83309, 78238]","[235367, 216374, 237415, 64550, 250306, 140314, 116049, 14975, 54047, 84826, 166690, 153789, 58505, 230184, 50047, 8445, 68844, 19825, 210354, 70529, 5894, 49453, 129996, 103098, 72522, 241787, 82682, 251689, 65433, 218755, 74662, 7627, 27071, 87793, 203253, 45282, 4153, 143095, 62757, 130094, 191316, 131429, 90973, 149917, 149530, 6089, 214450, 30051, 242528, 3065]","[237818, 208248, 156298, 237495, 194633, 250306, 86790, 123797, 93035, 29052, 63352, 71907, 245084, 33309, 86283, 62757, 26659, 230729, 221079, 203253, 163621, 123133, 3939, 191269, 164920, 36171, 97904, 203494, 218965, 84111, 187773, 248305, 145179, 56370, 190011, 169067, 16201, 110221, 111441, 219881, 149917, 19278, 184195, 39491, 1578, 162745, 219500, 163423, 54119, 139632]","[237818, 123797, 237495, 156298, 31218, 149917, 191269, 168451, 250306, 221079, 16769, 71907, 203253, 184195, 53497, 164095, 147415, 54119, 219500, 46586, 29194, 162254, 86135, 37532, 232281, 124237, 83741, 26659, 63221, 244454, 208248, 34573, 123133, 110708, 19278, 131429, 229791, 248305, 51702, 229720, 1201, 99318, 172856, 203494, 77655, 207754, 94788, 93385, 153685, 235367]","[235367, 216374, 237415, 64550, 54047, 14975, 116049, 140314, 250306, 166690, 84826, 153789, 230184, 50047, 58505, 72522, 8445, 70529, 68844, 5894, 129996, 210354, 49453, 19825, 103098, 27071, 74662, 218755, 241787, 65433, 87793, 82682, 62757, 7627, 131429, 184725, 90973, 203253, 60803, 143095, 6089, 45282, 149917, 191316, 149530, 4153, 251689, 209437, 130094, 191426]"
28,2,"['166174' '63352' '37636' '75383' '195511' '131429' '149917' '54047'
 '160231' '74887']","[234157, 246389, 216575, 93478, 6884, 97278, 36981, 70762, 199915, 248485, 20998, 101921, 123764, 130312, 241050, 214649, 120743, 8981, 28742, 174942, 16760, 120140, 214876, 122814, 163492, 73255, 246249, 216034, 114750, 89805, 238285, 28346, 1915, 64507, 159242, 183380, 88131, 131246, 137962, 239706, 109486, 247944, 186211, 18066, 231161, 43509, 236251, 20709, 139448, 19084]","[250306, 26659, 86790, 167186, 180201, 64550, 221079, 6765, 245858, 57996, 86424, 103098, 53497, 203253, 131429, 122336, 208248, 86135, 56156, 92846, 191177, 63352, 115454, 207513, 68163, 45282, 130724, 234647, 116049, 235367, 217965, 93035, 193787, 57572, 129996, 82821, 102584, 218755, 24004, 211346, 104413, 24902, 245084, 237495, 216374, 37636, 149917, 223774, 160231, 230184]","[29052, 26659, 251276, 208248, 234445, 250306, 180201, 3939, 241891, 219881, 93035, 154312, 167186, 63352, 237495, 232281, 245084, 20249, 14364, 196945, 235367, 123704, 165034, 35237, 103098, 121753, 108429, 53497, 44263, 63263, 121437, 122336, 7627, 162254, 149917, 21189, 54630, 59604, 74887, 82657, 47473, 156298, 57902, 50047, 64166, 246990, 242528, 177731, 163621, 6765]","[26659, 234445, 251276, 250306, 245084, 29052, 149917, 154312, 218275, 208248, 59604, 235367, 93035, 241891, 221079, 3584, 3939, 104510, 167186, 96552, 237495, 64550, 74472, 219881, 193787, 63221, 249785, 53989, 242528, 191673, 16223, 241321, 11359, 25286, 53497, 144800, 98496, 137291, 169201, 203643, 232281, 57902, 63352, 96211, 49570, 110708, 102026, 115701, 44263, 19055]","[250306, 26659, 86790, 167186, 64550, 180201, 57996, 245858, 203253, 221079, 6765, 131429, 92846, 86424, 56156, 63352, 45282, 103098, 122336, 53497, 115454, 68163, 234647, 86135, 130724, 217965, 191177, 208248, 93035, 245084, 57572, 102584, 82821, 235367, 211346, 193787, 251276, 24004, 160231, 237495, 49453, 37636, 207513, 218755, 129996, 230184, 35237, 96809, 181596, 209437]"
29,2,"['193090' '106017' '232281' '136246' '2125' '109817' '117429' '202244'
 '33309' '142204']","[199030, 101983, 133398, 183916, 160727, 62575, 100430, 172506, 76072, 223979, 234463, 160528, 244134, 157949, 43571, 113299, 158126, 68598, 228060, 154004, 74962, 234563, 250510, 179717, 101156, 117707, 21531, 101258, 1260, 131648, 201284, 205694, 144528, 48880, 184292, 176401, 89951, 120, 56571, 60108, 63894, 155404, 119474, 208005, 141337, 184467, 48092, 83310, 187302, 112287]","[235367, 237495, 86790, 104413, 103098, 216374, 250306, 215457, 203557, 195884, 64550, 14975, 229720, 54047, 180201, 210354, 30051, 249109, 143123, 140314, 221079, 72522, 219734, 203253, 232281, 209437, 184725, 155439, 237415, 29626, 45282, 106017, 207513, 204273, 50047, 149636, 40301, 130724, 218755, 241787, 8445, 36171, 166690, 7627, 247337, 130094, 86135, 29920, 161346, 38648]","[208248, 250306, 26659, 237495, 29052, 180201, 251276, 219881, 154312, 163621, 93035, 232281, 71907, 245084, 241891, 149917, 191269, 248305, 19278, 121753, 97904, 53497, 33309, 106903, 156298, 234445, 191316, 235367, 14364, 194633, 63352, 195028, 97301, 35237, 246233, 63263, 142807, 58917, 221079, 50047, 190011, 169067, 59604, 237818, 204990, 82821, 164095, 162254, 230729, 123704]","[250306, 26659, 232281, 208248, 86790, 156298, 63352, 149917, 96552, 191269, 237495, 162254, 147415, 234445, 237818, 229720, 169201, 13597, 63221, 193787, 203643, 245084, 29052, 203253, 234425, 250011, 219500, 218275, 16769, 25286, 34573, 64550, 31218, 93035, 36171, 80475, 35237, 137291, 180201, 99318, 143123, 120212, 235367, 131429, 221079, 53497, 113059, 249785, 223832, 72222]","[235367, 237495, 250306, 86790, 103098, 203557, 104413, 215457, 72522, 216374, 64550, 210354, 195884, 219734, 140314, 143123, 54047, 229720, 249109, 232281, 14975, 203253, 30051, 180201, 221079, 106017, 155439, 184725, 45282, 209437, 237415, 247337, 40301, 241787, 29626, 38648, 65433, 207513, 2803, 68844, 8445, 204273, 251689, 149913, 166690, 63084, 90768, 86135, 130724, 205833]"
31,0,"['77460' '226709' '240472' '57872' '100382' '243066' '204569' '251276'
 '205197' '245418']","[84995, 245034, 85928, 227309, 8872, 74061, 41150, 222335, 165031, 7252, 220848, 86842, 249378, 139555, 16135, 189686, 53558, 186129, 118836, 176337, 91091, 51289, 208665, 161280, 47253, 46166, 77267, 175924, 62766, 58566, 172440, 162060, 151053, 235221, 41340, 29168, 36068, 34322, 49830, 245101, 243802, 15979, 233313, 132973, 127924, 31124, 14988, 38751, 98406, 207117]","[245418, 225394, 83087, 251981, 32793, 30534, 134300, 13191, 85508, 5923, 145634, 186258, 97551, 106804, 241388, 226684, 57902, 196135, 247083, 64861, 89801, 62531, 154977, 144575, 23252, 167934, 236181, 73413, 77189, 50124, 101857, 12798, 168281, 190572, 1870, 24530, 210611, 201416, 139725, 203927, 212784, 183653, 170850, 107721, 70394, 73321, 149792, 134174, 87380, 176517]","[29052, 123704, 93035, 219881, 44263, 63352, 64166, 216283, 211768, 220074, 20673, 118771, 201377, 154312, 119775, 144402, 240182, 234445, 111424, 100981, 32684, 6536, 96387, 3939, 236082, 241891, 57262, 217340, 144800, 74887, 87338, 80073, 204569, 250306, 27612, 62048, 166144, 178456, 251276, 32117, 155806, 147527, 246990, 195917, 210071, 211245, 97301, 140813, 230101, 61532]","[218275, 123704, 93035, 68553, 96552, 202319, 204247, 183927, 195210, 26659, 5897, 69001, 1578, 220074, 153727, 144402, 29052, 65467, 245656, 214065, 222377, 127013, 57262, 27612, 10294, 61532, 205833, 118771, 126330, 37869, 4571, 177106, 46984, 236433, 58917, 230101, 191785, 101816, 32517, 235055, 44263, 245858, 235367, 121001, 241891, 97551, 178456, 201377, 6786, 226517]","[245418, 225394, 32793, 83087, 251981, 30534, 85508, 186258, 13191, 134300, 5923, 241388, 106804, 145634, 97551, 226684, 196135, 247083, 64861, 57902, 89801, 167934, 154977, 23252, 62531, 50124, 73413, 101857, 77189, 1870, 236181, 212784, 144575, 168281, 210611, 12798, 24530, 190572, 139725, 176517, 170850, 201416, 149792, 203927, 73321, 135248, 136311, 70394, 87380, 133000]"
46,0,"['149603' '122984' '111734' '16872' '112129' '211171' '160306' '28214'
 '37954' '3535']","[180876, 159790, 21371, 99182, 147212, 122014, 19124, 52404, 111221, 203560, 235789, 18841, 107773, 120073, 48230, 209440, 69372, 3711, 212171, 90865, 107427, 22369, 85807, 239235, 9533, 165521, 5200, 132802, 59151, 98067, 227057, 159094, 72599, 228333, 153275, 212305, 243240, 225054, 149272, 186647, 105526, 178097, 24445, 32467, 68001, 32728, 138270, 42489, 145222, 69479]","[6666, 207513, 29052, 216374, 68163, 104659, 70529, 245084, 104413, 195884, 84826, 139096, 158927, 110859, 191177, 241787, 180201, 63084, 204273, 7627, 185239, 234425, 5894, 16769, 86135, 251689, 72522, 210354, 130094, 47611, 201211, 219734, 234768, 232281, 169785, 106017, 85947, 4645, 157873, 166690, 56352, 54653, 39349, 143059, 60803, 27407, 139095, 250666, 165802, 56322]","[97065, 213430, 80909, 233426, 216087, 176680, 188777, 241348, 122635, 48931, 102543, 219069, 197588, 130370, 56447, 92765, 12636, 53803, 249308, 390, 223063, 205289, 200946, 147917, 164726, 71923, 240504, 34793, 251938, 54830, 115787, 237818, 147236, 136282, 114018, 75125, 235449, 245980, 153858, 218366, 237495, 177397, 229403, 188880, 69402, 20224, 130229, 132589, 177036, 133328]","[97130, 47081, 140220, 80569, 8788, 171886, 203882, 193839, 136468, 110268, 37532, 177055, 227992, 249904, 73360, 122353, 29194, 61952, 231704, 83741, 243340, 34573, 200881, 100288, 147511, 117593, 189131, 61856, 216191, 5024, 99318, 80099, 243955, 20381, 140592, 12383, 45737, 827, 148989, 139060, 215927, 65451, 177254, 115366, 124237, 51702, 178942, 236072, 204651, 54003]","[245084, 232281, 208248, 165802, 220179, 140167, 139096, 226760, 191316, 106017, 85540, 99135, 223499, 152619, 183609, 230426, 195006, 19904, 133318, 98081, 56927, 208565, 110961, 127261, 32234, 48284, 96623, 229892, 210456, 156332, 62938, 107828, 94279, 158494, 190417, 185375, 237495, 250769, 108963, 216191, 80250, 229600, 180340, 129187, 19970, 230872, 130036, 5189, 141101, 184315]"
47,3,"['40844' '11333' '151201' '191176' '131730' '235584' '217443' '223238'
 '245412' '181218']","[160762, 170084, 58170, 104090, 212275, 121717, 159985, 61713, 71586, 156356, 247522, 69827, 121396, 212016, 12066, 101313, 97747, 125371, 186340, 70297, 20269, 56008, 61357, 29228, 211863, 23788, 26493, 199072, 116603, 101206, 218888, 225750, 199959, 41699, 63070, 228525, 118998, 198602, 121284, 41713, 124416, 147759, 203475, 62129, 189488, 87409, 164776, 173317, 208026, 157608]","[219637, 131992, 77604, 48713, 187591, 232953, 249070, 31550, 34319, 144388, 74022, 246233, 30287, 53989, 164042, 155500, 250228, 208248, 221104, 175799, 181839, 79059, 102680, 229551, 121523, 172211, 72679, 134143, 174698, 232710, 237978, 6200, 150019, 88393, 9975, 51549, 31698, 224422, 118100, 184785, 76913, 182466, 89133, 156459, 125095, 85003, 83460, 240309, 240955, 89036]","[129186, 111552, 88393, 223858, 119674, 72973, 14364, 2109, 208248, 149297, 69460, 232281, 210624, 219637, 10309, 249785, 95985, 56125, 244061, 106748, 177736, 245084, 156262, 234445, 188777, 33199, 22830, 173990, 86497, 223063, 71406, 107940, 90362, 243869, 180135, 137597, 176295, 198446, 29246, 52426, 213430, 33687, 82657, 186289, 220171, 169451, 137520, 148885, 40660, 167653]","[10113, 129186, 184159, 117, 129429, 208248, 240182, 16023, 88393, 111914, 139599, 107133, 40918, 243768, 94330, 133510, 250382, 103066, 159950, 133507, 96552, 9052, 150180, 29246, 42135, 77444, 198182, 188357, 196835, 35237, 45495, 229, 38633, 135296, 20120, 204757, 22830, 23803, 166390, 223858, 1361, 211463, 198446, 127007, 2266, 114768, 100372, 185428, 219580, 168341]","[219637, 131992, 77604, 249070, 48713, 232953, 34319, 187591, 31550, 246233, 144388, 53989, 208248, 30287, 164042, 74022, 175799, 181839, 155500, 250228, 6200, 229551, 79059, 221104, 174698, 9975, 172211, 102680, 121523, 134143, 88393, 232710, 72679, 118100, 224422, 237978, 150019, 76913, 184785, 182466, 51549, 85003, 31698, 240309, 156459, 68162, 125095, 186852, 191313, 89133]"
56,0,"['56457' '123985' '227576' '47657' '33445' '183688' '139257' '186624'
 '44749' '97392']","[103262, 131366, 130203, 19812, 64949, 159636, 26278, 158688, 99172, 116957, 195242, 88397, 58614, 219071, 188699, 72685, 247901, 30670, 31802, 23677, 208359, 181456, 188690, 50760, 198697, 56417, 24756, 5398, 164578, 51136, 25862, 42934, 52367, 197009, 71544, 196069, 59488, 180331, 228512, 132523, 147846, 26684, 58254, 234805, 170201, 178876, 151150, 82290, 9211, 19427]","[191313, 87806, 34319, 154321, 251617, 172218, 232829, 207476, 33445, 111863, 102026, 79687, 174692, 216260, 183688, 113368, 162412, 219637, 88393, 35659, 140867, 202567, 249070, 235251, 247450, 102680, 237978, 115704, 47657, 163571, 229551, 224422, 6200, 61398, 89133, 85574, 57996, 139257, 237774, 1287, 51431, 19378, 101799, 249774, 112277, 56457, 186289, 24004, 146012, 143755]","[59604, 82097, 9052, 250382, 142102, 82657, 7629, 219637, 194008, 29246, 143113, 11444, 42757, 184975, 208248, 37624, 56156, 46900, 228478, 173990, 104784, 250306, 181430, 99694, 111552, 135627, 245804, 82545, 217598, 187095, 232120, 67921, 24004, 63997, 51993, 195287, 10309, 178937, 182297, 132453, 151297, 140411, 90711, 178421, 87404, 178857, 10172, 232350, 177023, 129386]","[96552, 129186, 88393, 250382, 191313, 29246, 14364, 147415, 235367, 137291, 53989, 15671, 228478, 104302, 218275, 151297, 55818, 82545, 112292, 87134, 133507, 177254, 203643, 63221, 219637, 147522, 56156, 208248, 124094, 24004, 133397, 14182, 2125, 52107, 180201, 73740, 225940, 140469, 181430, 18489, 216354, 41530, 150180, 149608, 17758, 174692, 189201, 140411, 34419, 109258]","[191313, 87806, 154321, 34319, 232829, 251617, 207476, 172218, 33445, 111863, 174692, 102026, 216260, 88393, 183688, 79687, 6200, 202567, 113368, 235251, 162412, 115704, 237978, 102680, 229551, 140867, 249070, 219637, 163571, 35659, 47657, 61398, 224422, 89133, 139257, 186289, 112277, 247450, 19378, 237774, 85574, 146012, 56073, 51431, 1287, 57996, 48557, 24004, 56457, 249774]"
