playlist_idx,hybrid_recommendations
5,"[93035, 85382, 14481, 27612, 234902, 155865, 209088, 184651, 33426, 206616, 201531, 195436, 33032, 174875, 246412, 222280, 34474, 219594, 33637, 134299, 139360, 159479, 78141, 206882, 126640, 101453, 212896, 184592, 186942, 171756, 103348, 57666, 989, 65195, 102641, 205620, 196044, 88867, 117801, 160881, 10409, 117991, 185058, 146691, 141544, 7622, 35586, 53831, 187394, 55719]"
15,"[203557, 250306, 221079, 216374, 140314, 86790, 237415, 143123, 64550, 54047, 190816, 72522, 84826, 53497, 68922, 30051, 234425, 216240, 210354, 103098, 58505, 131216, 27071, 70529, 63084, 65433, 215457, 195884, 151584, 251689, 191316, 149530, 184725, 146644, 134758, 230184, 153789, 241787, 191177, 68844, 99481, 7627, 187276, 104413, 6089, 250946, 17976, 203253, 32765, 2000]"
16,"[140314, 251689, 14975, 17731, 65300, 184725, 243131, 30051, 146644, 68922, 172576, 85556, 179215, 47611, 76572, 237495, 16769, 180819, 2000, 182505, 75949, 219379, 116049, 237415, 191316, 27071, 200050, 174051, 209260, 157873, 99481, 30824, 57687, 71894, 87405, 113948, 89370, 31020, 142590, 234425, 63084, 87172, 6447, 143123, 77411, 43658, 168126, 219734, 139020, 32765]"
19,"[250666, 232729, 118317, 121753, 237495, 20673, 208658, 242528, 168606, 64021, 161346, 104413, 2180, 72522, 249109, 14281, 206931, 10765, 35237, 180819, 36372, 201377, 195884, 228264, 208248, 184725, 156346, 102026, 198641, 231436, 29032, 201211, 19554, 207476, 93098, 6666, 194878, 152463, 204569, 78987, 186479, 83460, 12262, 251689, 82561, 199382, 231840, 202106, 104659, 203253]"
23,"[122336, 35237, 202106, 103098, 104413, 102026, 119775, 86424, 6765, 208248, 245858, 181596, 116049, 229720, 45282, 102584, 234647, 168606, 86790, 56156, 68844, 29052, 235367, 249109, 110859, 181640, 48557, 167186, 237495, 115454, 231840, 60993, 20673, 201211, 207513, 118317, 54047, 92846, 93035, 86135, 64550, 67273, 245084, 97864, 217965, 90523, 130724, 47445, 243066, 6666]"
25,"[189533, 83411, 246233, 87806, 38245, 183688, 33445, 184315, 76812, 250228, 115710, 56322, 142578, 147304, 208382, 41041, 180201, 34094, 135948, 187948, 89133, 168341, 32809, 231254, 72522, 122597, 246081, 191177, 219789, 216260, 47657, 229551, 9975, 139257, 135471, 191313, 169034, 6666, 16769, 51431, 121753, 31007, 68141, 58044, 117402, 102680, 129035, 250245, 130947, 224295]"
32,"[212881, 172218, 115704, 61398, 35659, 85574, 178754, 164042, 251617, 243676, 181016, 249070, 14306, 123985, 220747, 235251, 191313, 232953, 250210, 77604, 188065, 237978, 180091, 143755, 62935, 219293, 224422, 102680, 64204, 29246, 184018, 1287, 14025, 56457, 6200, 216260, 35486, 160935, 174692, 31550, 186852, 45699, 140867, 244627, 194103, 240309, 55826, 228386, 79687, 94251]"
38,"[212881, 115704, 61398, 172218, 232829, 202567, 219637, 6200, 130606, 50040, 35659, 154321, 85574, 189201, 88393, 229551, 131992, 102680, 34319, 87806, 140867, 237978, 178754, 109155, 235251, 113242, 174692, 243676, 232953, 249070, 113137, 121753, 164042, 14306, 10765, 181016, 77604, 220747, 191313, 94251, 181349, 251617, 250210, 249774, 188065, 224422, 64204, 123985, 180091, 111863]"
40,"[212881, 172218, 61398, 232829, 219637, 232953, 56073, 202567, 164042, 178754, 130606, 35659, 121523, 85574, 181016, 250210, 219293, 131992, 220747, 77604, 62935, 184018, 160935, 6200, 60610, 174467, 14306, 55826, 235686, 224422, 243676, 249070, 12590, 108164, 1287, 52067, 109155, 140469, 235251, 237978, 151202, 225940, 87868, 146827, 123943, 151438, 103098, 194103, 142638, 216260]"
50,"[135471, 84350, 76387, 157693, 168341, 232845, 206871, 219580, 130032, 109033, 31007, 218685, 230872, 193010, 60047, 97330, 233951, 108569, 75920, 161162, 30099, 175642, 169451, 3884, 241834, 105644, 94603, 241625, 170876, 151359, 11865, 71175, 30659, 83411, 23360, 26657, 46380, 196408, 219826, 135948, 150917, 58141, 38245, 27560, 78755, 135397, 87223, 216562, 136468, 117652]"
57,"[140314, 216374, 221079, 86790, 72522, 219734, 53497, 64550, 184725, 250306, 27071, 54047, 216252, 68844, 99481, 84826, 65433, 191316, 68922, 70529, 8445, 215457, 104413, 5894, 58505, 203253, 195884, 230184, 50047, 241787, 210354, 191177, 45282, 130094, 151584, 209437, 47611, 32765, 180819, 236977, 159681, 143095, 166690, 35237, 86135, 121753, 131429, 157873, 242528, 149530]"
62,"[14975, 235367, 221079, 216374, 203557, 219734, 191316, 143123, 86790, 27071, 30051, 216240, 215457, 216252, 70529, 53497, 54047, 84826, 99481, 64550, 151584, 65433, 104413, 250306, 103098, 190816, 230184, 158927, 47611, 139096, 191177, 131216, 153789, 174543, 68922, 35237, 234425, 68844, 7627, 204273, 159681, 50047, 210354, 32765, 193787, 140167, 90768, 251815, 250666, 109500]"
77,"[118317, 20673, 228264, 201211, 180201, 104659, 57572, 2180, 247450, 232729, 249785, 104413, 93098, 102026, 231436, 116049, 109660, 12771, 6666, 102584, 168606, 217965, 103098, 45282, 198641, 110859, 237495, 82561, 207476, 63511, 10765, 191177, 29052, 121753, 225936, 180819, 18997, 249109, 203517, 45959, 63352, 152463, 72522, 202106, 115454, 231840, 242528, 39349, 201377, 110461]"
79,"[34052, 146458, 222741, 234725, 99649, 190384, 109034, 101187, 25252, 73309, 71010, 227906, 71447, 250027, 179215, 95976, 251689, 109817, 50195, 191691, 30824, 227888, 224164, 85266, 23200, 97496, 80573, 85165, 132243, 105120, 10463, 246045, 58061, 44776, 161494, 244518, 122409, 41929, 160231, 186024, 149123, 115172, 140346, 226638, 185236, 135043, 104207, 26200, 93030, 100479]"
86,"[203557, 90973, 54047, 140314, 166690, 219734, 86135, 216252, 14975, 190816, 62064, 131429, 209437, 16252, 191177, 151584, 19825, 5894, 104413, 77655, 62757, 130724, 45282, 122751, 70529, 3065, 72522, 40301, 149530, 39290, 99481, 107507, 164641, 242528, 216240, 30051, 35237, 74662, 27071, 63084, 232281, 99868, 217892, 205833, 182651, 158927, 229720, 204678, 241787, 6089]"
89,"[232281, 81339, 129996, 250306, 27407, 86135, 5427, 229720, 149636, 191177, 251849, 86790, 54047, 41689, 131429, 180201, 95012, 237293, 242528, 127239, 216374, 207513, 62757, 64550, 135193, 206650, 149427, 35237, 35332, 121753, 203253, 16252, 206765, 241787, 221079, 3065, 62064, 193787, 54119, 148728, 83741, 103098, 118618, 66146, 58505, 216540, 126542, 249595, 219531, 144973]"
92,"[16769, 235367, 86790, 221079, 116049, 64550, 237415, 216252, 72522, 30051, 216374, 143123, 191316, 219734, 70529, 190816, 151584, 99481, 84826, 131216, 58505, 54047, 27071, 50047, 68922, 241787, 166690, 130094, 153789, 29920, 63084, 234425, 103098, 230184, 158927, 203856, 40301, 210354, 203253, 234471, 7627, 104413, 146644, 139096, 131429, 90768, 6089, 68844, 155439, 121753]"
93,"[224606, 41929, 194274, 147150, 80649, 39039, 128036, 229564, 89301, 39378, 1936, 6609, 235201, 128904, 11839, 62109, 227756, 69535, 208873, 204908, 248435, 113265, 102730, 37226, 89033, 116049, 230921, 126442, 187212, 71342, 68832, 166507, 183660, 171190, 157368, 69555, 143190, 220086, 6423, 59148, 189808, 194869, 27889, 9594, 129356, 201930, 131484, 77293, 29804, 215059]"
99,"[242528, 168606, 249109, 99481, 237495, 235367, 33309, 116049, 35237, 216374, 202106, 115454, 203253, 16769, 180819, 24902, 191177, 250306, 93035, 216240, 68844, 140314, 27407, 30051, 181596, 53497, 251689, 177405, 207513, 48207, 209437, 153789, 65433, 247450, 84826, 43498, 184725, 218728, 10765, 102584, 225936, 109817, 86790, 232729, 221079, 64550, 72522, 245858, 143095, 156346]"
113,"[111332, 199099, 222280, 219594, 155865, 126838, 14481, 148389, 73381, 221649, 173569, 102641, 233739, 10513, 189048, 234902, 44106, 247207, 171756, 65195, 209088, 113794, 246412, 117801, 170027, 201437, 187394, 184651, 28632, 206616, 36633, 57666, 174875, 113539, 33032, 184076, 145134, 126940, 73096, 180162, 46204, 166174, 134299, 55719, 95600, 126298, 232521, 223104, 11845, 168606]"
115,"[140314, 14975, 251689, 99481, 5894, 216374, 191316, 216240, 237495, 72522, 143123, 237415, 116049, 235367, 219734, 16769, 65433, 221079, 86790, 190816, 130094, 8445, 53497, 234425, 180819, 203557, 140167, 68922, 250306, 99868, 84826, 195884, 37668, 109817, 215457, 32765, 158927, 241787, 177405, 27071, 234471, 210354, 96494, 6089, 153789, 64550, 63084, 202244, 204678, 203253]"
120,"[32793, 5923, 167934, 134300, 73413, 85508, 196135, 77189, 13191, 145634, 1870, 50124, 30534, 221049, 168210, 149792, 101857, 154435, 176517, 12798, 170850, 97551, 154977, 144575, 126330, 133000, 60304, 80496, 62531, 128399, 203184, 139725, 64166, 1706, 170831, 53316, 17425, 183653, 56321, 136311, 87380, 199180, 20910, 142031, 211035, 92506, 201765, 31570, 186446, 135248]"
128,"[237415, 53497, 143123, 140314, 203253, 7627, 5894, 72522, 166690, 153789, 65433, 30051, 70529, 216252, 190816, 16252, 27071, 82682, 68844, 241787, 184725, 3065, 74662, 195884, 164641, 63084, 130094, 8445, 35237, 99868, 124237, 232281, 151584, 99481, 62757, 191316, 156348, 245084, 240000, 209437, 46586, 207513, 4153, 217892, 249109, 121753, 54653, 184979, 40301, 234471]"
134,"[16769, 235367, 116049, 54047, 14975, 216374, 86790, 221079, 237415, 40301, 64550, 53497, 58505, 84826, 209437, 245084, 153789, 219734, 250306, 140314, 190816, 191316, 19825, 216252, 232281, 35237, 241787, 195884, 184725, 27071, 104413, 70529, 242528, 124237, 68844, 72522, 131216, 103098, 251689, 129996, 203856, 30051, 240000, 193787, 204273, 151584, 191177, 6089, 8445, 207513]"
154,"[251617, 212881, 235251, 232829, 83460, 250210, 132812, 9975, 115704, 77995, 103823, 6666, 85574, 249070, 213691, 246233, 116938, 217339, 178754, 220747, 202567, 61398, 38529, 89133, 77604, 216260, 113242, 224295, 34319, 73807, 131992, 143682, 219293, 182089, 172218, 31550, 47657, 244627, 79059, 202104, 100930, 191313, 250228, 56073, 148812, 227395, 207476, 87806, 119462, 33445]"
176,"[58141, 38245, 97330, 208864, 129186, 135397, 54114, 132684, 27560, 87043, 155540, 66741, 206400, 177055, 232845, 206871, 7580, 168341, 178920, 161162, 246081, 82207, 186858, 106318, 136468, 241625, 221506, 187794, 11865, 79611, 53442, 905, 192049, 84350, 173821, 105644, 190925, 131439, 55292, 157693, 193941, 168149, 218685, 75920, 31007, 214455, 147641, 178035, 230872, 169451]"
182,"[221079, 64550, 219734, 50047, 84826, 7627, 86135, 153789, 184725, 99481, 129996, 131429, 191316, 151584, 6089, 68163, 27071, 58505, 180201, 104413, 19825, 8445, 62064, 203253, 190816, 204678, 130724, 189386, 232281, 230184, 121753, 218755, 234425, 60803, 87793, 210354, 40301, 99868, 209437, 29920, 216240, 82682, 90973, 63084, 164641, 240000, 229720, 62757, 236977, 242528]"
199,"[35237, 180201, 181640, 163048, 102192, 45495, 229720, 97864, 249785, 107480, 24902, 149636, 145548, 198446, 210921, 209750, 33882, 251311, 99822, 225852, 58418, 207513, 20809, 83674, 114167, 168606, 36527, 203253, 192182, 203526, 57996, 41723, 2125, 242528, 219637, 169595, 233480, 68450, 62228, 12771, 240000, 205833, 181767, 199770, 96114, 140857, 221860, 41717, 47954, 103728]"
