playlist_idx,era_diversity,length_diversity,artist_diversity,popularity_diversity,sentiment_diversity,genre_diversity,cluster,cluster_name
1,0.0,1.1154191407561969,4.9375,967.671875,0.039754568745241525,0.444632103832709,1,Trend-Saavy Seekers
2,1.7609640474436812,1.5709505944546684,3.321928094887362,281.00999999999993,0.065906044501066,0.3760640244614191,3,Universal Explorer
3,1.5685016180229399,1.4791468546237514,5.508132025833402,732.7633136094674,0.09627831761980292,0.3950790538843819,3,Universal Explorer
4,0.3372900666170139,0.954434002924965,4.994304250365621,361.3115234375,0.07964658909374313,0.4275526677508992,0,Consistent Loyalists
5,0.10441907800540785,1.0819187534622845,4.701371041905524,622.941640082567,0.09175111462623455,0.38878225287459167,0,Consistent Loyalists
6,0.0,1.4772170014624826,3.577819531114783,867.75,0.035333473287827426,0.48525760218592173,1,Trend-Saavy Seekers
7,1.3885524381771983,1.0552875145820815,5.308558023713829,718.3822222222221,0.064894180140285,0.45045746162559613,1,Trend-Saavy Seekers
8,0.0,1.0702364367008015,5.886984712845832,340.64869681443525,0.06571732355728424,0.43938278261841,1,Trend-Saavy Seekers
9,0.08728058888363333,1.5040833358112038,4.674617691788248,475.0278951817413,0.05116365657012105,0.38230851058818793,2,Focused Mood Crafters
10,0.1370994788998177,1.042172779332823,5.3397688046379495,374.7647928994083,0.07513338889400113,0.43838253565189844,0,Consistent Loyalists
11,1.5505554858128758,1.1288080958082711,6.043629803125233,520.1523668639054,0.07108896587643321,0.3196126235873236,3,Universal Explorer
12,0.5855682700877616,1.450911521512793,5.601638937853164,511.10567874526765,0.046364482302570405,0.3636227872083626,2,Focused Mood Crafters
13,0.0,0.8683927290103626,3.0306390622295662,316.734375,0.05022991567399331,0.47619195066845843,0,Consistent Loyalists
14,0.38039629752393667,1.380439087952976,6.3623106825638605,609.6515763168012,0.052432590826800476,0.38139957915923667,1,Trend-Saavy Seekers
15,0.19981952947888357,1.3652594845056858,5.610205984085909,526.6104324948321,0.04444454094376048,0.3431654779344185,2,Focused Mood Crafters
16,1.334599425999111,1.0056659577324911,3.4921313235952676,611.077288941736,0.07241835000719159,0.21269404651264967,0,Consistent Loyalists
17,0.5156232364867881,1.502014771805294,5.122132257135992,490.2358276643991,0.04875464621322801,0.3940094482649829,2,Focused Mood Crafters
18,0.24376925951524542,1.2989495028665583,5.527875763971671,687.4268340270552,0.06019220810183679,0.4299205950985676,1,Trend-Saavy Seekers
19,0.0,1.3893557466791862,4.640319531114783,556.6708984375,0.08250424041314791,0.41054228711040036,1,Trend-Saavy Seekers
21,1.5221898721658211,1.4836591643979626,4.087462841250339,872.7681660899655,0.1317157932821652,0.4211205569256639,3,Universal Explorer
22,0.8146518987766173,1.3243056803763305,5.586118735630003,401.9211859635954,0.09854067450952823,0.37330928886616954,3,Universal Explorer
23,0.0,1.1914531544216926,4.518397116698909,826.4994797086371,0.06575723971378034,0.3933871878981203,1,Trend-Saavy Seekers
24,0.0,0.9055872616982603,3.456564762130953,971.3955555555555,0.041957715401685934,0.43622678056434155,1,Trend-Saavy Seekers
25,1.5852515496356405,1.2783952287061426,6.316307314753091,527.3211000000001,0.08555363676289279,0.4355938907195661,3,Universal Explorer
26,1.3670284012583998,1.2865506297518265,6.6456103224313035,602.304110301769,0.08822008560888357,0.3957715168968473,3,Universal Explorer
27,0.9483637038715014,1.171269830974673,4.666776792070116,745.2667841692037,0.09579463984304581,0.4206476352307271,3,Universal Explorer
28,0.0,1.1154191407561969,5.0,518.0458984375,0.044439554406730836,0.35598346810267023,2,Focused Mood Crafters
29,0.21450983370697768,1.4730393690310617,3.3860950310371543,503.3975981404958,0.05313833922964775,0.4380346769814427,2,Focused Mood Crafters
31,0.0,1.0529815751302694,4.21506101220307,424.4222222222222,0.06732411260314342,0.3913178668765941,0,Consistent Loyalists
32,1.3963268124299457,1.1014427000684845,4.804490783020704,467.92848904267595,0.08862962347553716,0.24479064721261815,3,Universal Explorer
33,0.7577848442409716,1.464690524716319,3.998228578976304,857.7683044982701,0.10188732201939035,0.3430369207419379,3,Universal Explorer
34,0.2025783405415805,1.3084481418815832,6.3856880264938045,604.0104550552795,0.04914848891180117,0.3849759316636338,1,Trend-Saavy Seekers
35,0.768912338584688,1.3796997730741891,4.495425678560518,407.02615916955017,0.06413376010951813,0.3541322469601698,2,Focused Mood Crafters
36,0.1936428046838986,1.530322561519138,5.614377809763885,592.3390510135887,0.08001562100780217,0.3102601755831738,2,Focused Mood Crafters
37,2.0734278467607004,1.3503068569722778,5.53847302800129,763.3055582786003,0.08062748984621261,0.40119113903446063,3,Universal Explorer
38,1.9655271221894868,1.5315837907232552,6.1895409589312695,433.7015616549487,0.08493402935958538,0.3490809651263549,3,Universal Explorer
39,0.4606344100257201,1.292745219807439,6.201841232302569,456.12287414965994,0.06973829850390657,0.3074019899815802,2,Focused Mood Crafters
40,0.5435644431995964,1.3644819389566543,3.467457461355699,446.2625,0.07720775393589435,0.23832012158121413,2,Focused Mood Crafters
41,0.205592508185083,1.1230875826307978,4.760647923290103,427.0031217481789,0.0865452797654763,0.3734774010774984,0,Consistent Loyalists
42,0.09317131799548933,1.5151251454538706,5.589627875573753,683.1772959183673,0.08122724410453223,0.45301688838388604,1,Trend-Saavy Seekers
43,0.6555719074612931,1.2014051148553606,6.657004543765404,647.8792817262713,0.06698861703889498,0.3827374115849372,1,Trend-Saavy Seekers
44,0.28840091367940124,1.4931832667543383,5.799061723926002,623.6115889542779,0.05558268988041128,0.36233485531270415,2,Focused Mood Crafters
45,0.6936885785968765,1.331112825300889,5.041935262639453,682.3014951371753,0.04538161399520624,0.39824907198026865,1,Trend-Saavy Seekers
46,0.0,0.0,-0.0,715.3254437869823,2.220446049250313e-16,0.1708632765265055,0,Consistent Loyalists
47,0.8691001356063961,1.4538423531647848,6.203797955514139,619.7622366669277,0.07561672883944029,0.360941285951919,3,Universal Explorer
48,0.0,1.5333966306896163,5.652063013455709,510.4946625344352,0.044960795708458574,0.3510905843524521,2,Focused Mood Crafters
49,1.5414959777232489,1.5631922012781003,4.651084443403433,527.3745541022591,0.10830519240036363,0.36366986829807907,3,Universal Explorer
50,1.9382762336296042,1.2262095460596982,6.000285668493418,419.58835911657593,0.09240140720409296,0.3124635145671438,3,Universal Explorer
51,0.3984592740952357,1.2257689657466975,4.11583409216322,656.1662049861495,0.04212321378810834,0.45102069581726434,1,Trend-Saavy Seekers
52,1.2834397013010779,1.1086341674684745,4.5871081634335376,342.52514792899404,0.07644287836365295,0.44097898524717866,0,Consistent Loyalists
53,0.5916727785823275,1.287054028118727,5.2494602799216175,666.7375283446711,0.06257651856441597,0.46227485680931935,1,Trend-Saavy Seekers
54,0.9675406324320196,0.9989802737140192,5.598163575846765,778.7397817852902,0.0663476211062622,0.35552774279447974,1,Trend-Saavy Seekers
55,0.9105136802493752,1.492132447440842,5.4336814614952065,503.34318251769776,0.09142982868779419,0.43467314609931657,3,Universal Explorer
56,0.7642045065086203,1.4558764720277595,2.3845171317930984,185.6159122085048,0.07680384147738356,0.3384472744975071,0,Consistent Loyalists
