playlist_idx,cluster,dataset_type,num_tracks,track_idx_list,tracks_to_predict,num_edits,avg_tracks_per_edit,num_artists,popularity_mean,era_early_years_proportion,era_classic_era_proportion,era_golden_era_proportion,era_2000s_proportion,era_modern_era_proportion,length_short_proportion,length_medium_proportion,length_long_proportion,genre_Instrumental / Ambient Sounds_centroid,genre_Soft Acoustic / Classical_centroid,genre_Orchestral / Soundtrack_centroid,genre_Mid-tempo Pop / Indie_centroid,genre_Upbeat Electronic / Dance_centroid,genre_Slow & Melancholic (Sad Songs)_centroid,genre_Experimental / Jazz Fusion_centroid,genre_Lo-Fi / Chill Vibes_centroid,sentiment_joy_centroid,sentiment_calm_centroid,sentiment_sadness_centroid,sentiment_fear_centroid,sentiment_energizing_centroid,sentiment_dreamy_centroid
1,1,train,32,"[3689, 207774, 194775, 135193, 218011, 37844, 83246, 82249, 57996, 181596, 86424, 208248, 93035, 249785, 63352, 152463, 137675, 247413, 151316, 134509, 102192, 234647, 6765, 202106, 119775, 110461, 245858, 14182, 211346, 56156, 167186, 149136]","[218708, 242974, 165272, 9418, 221860, 229224, 39687, 177887, 181016, 19451]",11,2.8,37,42.625,0.0,0.0,0.0,0.0,1.0,0.09375,0.71875,0.1875,0.33939356,0.06028851,0.13018671,0.18587857,0.06430636,0.06690145,0.10617843,0.0468664,0.09926201,0.10005939,0.18174096,0.19257667,0.2357163,0.19064468
2,3,test,10,"[160375, 131195, 164629, 147280, 193891, 170777, 95293, 62212, 232308, 146199]","[232845, 111887, 144160, 10663, 216321, 138869, 63694, 72431, 108782, 175642]",1,6.667,20,49.3,0.0,0.5,0.2,0.2,0.1,0.3,0.4,0.3,0.17539133,0.24404486,0.10463579,0.23615809,0.01089523,0.10706501,0.00735905,0.11445065,0.05571575,0.04150103,0.1892949,0.18717841,0.27055519,0.25575473
3,3,train,52,"[104436, 229428, 25968, 186871, 81592, 15947, 251172, 13422, 221810, 175317, 192292, 137221, 222620, 34094, 62212, 67861, 36197, 149177, 208864, 159447, 250210, 238716, 176401, 172831, 76812, 116526, 132684, 148390, 246233, 83411, 87948, 192501, 91718, 149355, 30636, 186690, 2924, 42820, 130535, 225769, 127736, 101021, 100770, 43248, 235670, 42921, 39701, 45553, 29471, 117402, 189533, 237699]","[42986, 156208, 73950, 54114, 134077, 214967, 176401, 135728, 129186, 105818]",12,4.429,56,47.92307692307692,0.0,0.1346153846153846,0.5384615384615384,0.2884615384615384,0.0384615384615384,0.2307692307692307,0.5192307692307693,0.25,0.17444582,0.08376044,0.23916949,0.23910377,0.0309933,0.06290075,0.06604188,0.10358454,0.08737025,0.06740743,0.17658707,0.1728045,0.27980562,0.21602513
4,0,val,64,"[244173, 210510, 9349, 224202, 147251, 35498, 21260, 159614, 133549, 168205, 40478, 214303, 167390, 31958, 188742, 183469, 54700, 9617, 45437, 124021, 42020, 39413, 164410, 245523, 92357, 154224, 176272, 21000, 31178, 153491, 100077, 175352, 167460, 64332, 2021, 248895, 165416, 64948, 175558, 251879, 232817, 99876, 36381, 249123, 39118, 110515, 209567, 57951, 193375, 225008, 127644, 228661, 53431, 173444, 169365, 115656, 106366, 173813, 172523, 242980, 69255, 64637, 57263, 196162]","[166268, 22122, 211269, 71335, 21853, 190702, 111268, 166527, 165497, 17051]",18,3.524,40,43.96875,0.0,0.0,0.0,0.0625,0.9375,0.0,0.375,0.625,0.37840687,0.07747222,0.15678027,0.08166863,0.00975449,0.06061822,0.11240289,0.12289641,0.13178678,0.09436656,0.12261876,0.1025185,0.3142365,0.2344729
5,0,final,73,"[194410, 10513, 62267, 196463, 14164, 13405, 110262, 173569, 63386, 208032, 238555, 169343, 135981, 66497, 71151, 161527, 244212, 113539, 27184, 194093, 221929, 57738, 199099, 202209, 236876, 148018, 180162, 156595, 221649, 83431, 98368, 191243, 126838, 213817, 153025, 74797, 38921, 73381, 145134, 24871, 111321, 120318, 95600, 184076, 146935, 66043, 73096, 93352, 87147, 156800, 189048, 36633, 32343, 90986, 44106, 62497, 46851, 46481, 29665, 111332, 140047, 148006, 248738, 81092, 191243, 123234, 238418, 194093, 215737, 57738, 170780, 11845, 215026]","[209088, 186942, 33032, 27612, 33426, 201531, 72218, 248382, 7622, 242101]",4,16.6,40,48.64383561643836,0.0,0.0,0.0,0.0136986301369863,0.9863013698630136,0.0136986301369863,0.547945205479452,0.4383561643835616,0.47525405,0.02912338,0.07773208,0.16155784,0.05696052,0.04387445,0.07120072,0.08429696,0.09775545,0.04515955,0.18666905,0.16287565,0.31015456,0.19738575
6,1,val,16,"[191316, 216283, 108826, 149917, 177254, 232281, 136284, 230140, 16252, 221728, 49271, 197015, 244671, 121753, 29052, 76561]","[250306, 36356, 119562, 66146, 206650, 166690, 95915, 68163, 46663, 144118]",9,1.733,23,42.0,0.0,0.0,0.0,0.0,1.0,0.3125,0.5,0.1875,0.22774361,0.05903428,0.13858627,0.1816635,0.06456163,0.12291141,0.19601394,0.00948536,0.07573006,0.03607484,0.19004197,0.21747399,0.27089235,0.20978679
7,1,test,75,"[63526, 189533, 78677, 63380, 41539, 67084, 229551, 51330, 58044, 233911, 183650, 154321, 127430, 8806, 129775, 9975, 33445, 151639, 149345, 98800, 87806, 183688, 139257, 101441, 51431, 198183, 128094, 218866, 145987, 109522, 203138, 95663, 49239, 120157, 102680, 129764, 157771, 21733, 142482, 58147, 38295, 174845, 115871, 212670, 169034, 160107, 49343, 191002, 206931, 62933, 25528, 156328, 131164, 120004, 40121, 143682, 115140, 180819, 156346, 212781, 215955, 20731, 186313, 44617, 156572, 50392, 247450, 71308, 49096, 237978, 82415, 179939, 134641, 16353, 121753]","[48557, 142203, 66610, 16213, 112277, 43008, 208658, 86890, 191582, 44781]",49,1.518,55,54.53333333333333,0.0,0.0133333333333333,0.0933333333333333,0.5733333333333334,0.32,0.0133333333333333,0.3866666666666666,0.6,0.31380571,0.10563478,0.15245416,0.15163097,0.03219162,0.09382191,0.04532077,0.10514008,0.05663589,0.06104161,0.22531907,0.20994568,0.24167588,0.20538187
8,1,train,67,"[14962, 47557, 91553, 104020, 242077, 85947, 136232, 192919, 136804, 114167, 192302, 56955, 130474, 67409, 168422, 39569, 181418, 170190, 146715, 251013, 9116, 58471, 246045, 68548, 39885, 155440, 168606, 179527, 26682, 4247, 43032, 43465, 212735, 135349, 199770, 132733, 31327, 110945, 47149, 50026, 228924, 86424, 251354, 127220, 181455, 48475, 99823, 164741, 85535, 151798, 59343, 159608, 175978, 9824, 24907, 64791, 149712, 188099, 119775, 167186, 63352, 225936, 59566, 58861, 214401, 92846, 6735]","[45655, 100810, 250258, 169756, 86872, 117869, 249785, 191673, 243066, 114355]",37,1.791,72,33.91044776119403,0.0,0.0,0.0,0.0,1.0,0.1194029850746268,0.746268656716418,0.1343283582089552,0.29993174,0.08668534,0.12382249,0.22442212,0.06343765,0.11457022,0.04548036,0.04165008,0.07760809,0.06847309,0.16983477,0.18514972,0.27587674,0.2230576
9,2,train,91,"[22194, 157563, 151356, 87387, 7320, 248495, 244671, 3003, 243245, 219712, 53296, 180136, 185376, 47175, 187773, 135727, 65451, 249545, 8023, 248256, 226099, 47240, 91621, 75597, 215613, 170515, 85837, 134758, 66020, 108152, 176660, 153953, 53463, 123123, 242298, 214962, 8735, 204222, 241787, 182126, 63516, 170698, 47413, 92917, 56172, 190585, 7246, 53665, 165918, 207781, 186992, 108462, 235006, 149222, 240279, 194867, 203557, 237495, 99438, 7627, 36294, 84970, 115454, 102534, 251245, 75991, 195366, 156348, 4153, 201710, 69683, 52002, 64550, 156323, 165407, 66146, 55181, 165849, 68192, 6666, 79869, 91745, 131139, 110809, 224498, 113516, 113670, 178423, 226723, 75749, 33374]","[88490, 122326, 87495, 205574, 3345, 191269, 29217, 184445, 203494, 247659]",34,2.658,50,46.38461538461539,0.0,0.0109890109890109,0.0,0.0,0.989010989010989,0.1868131868131868,0.4395604395604395,0.3736263736263736,0.37489649,0.0714773,0.1573916,0.20051331,0.056848,0.02264407,0.05466513,0.0615641,0.06229782,0.0495629,0.2230327,0.20730395,0.27764355,0.18015908
10,0,test,52,"[183059, 19373, 78643, 73807, 86276, 144388, 128821, 150019, 165515, 43116, 224428, 196132, 20809, 30446, 78574, 86872, 137706, 18503, 204100, 106688, 229355, 14392, 177535, 241428, 29052, 63039, 128765, 221449, 17504, 86463, 235686, 237670, 36533, 232796, 69700, 206573, 106688, 91811, 47059, 97741, 213049, 216452, 61608, 102766, 154373, 206353, 181388, 248058, 95325, 170704, 228386, 69649]","[89301, 74022, 221104, 218307, 229795, 129045, 24597, 222150, 135587, 217552]",3,20.667,51,41.65384615384615,0.0,0.0,0.0,0.0192307692307692,0.9807692307692308,0.0576923076923076,0.7307692307692307,0.2115384615384615,0.15948682,0.09393758,0.23101426,0.21087848,0.06149441,0.16702506,0.04311971,0.03304369,0.04496481,0.0507944,0.21524128,0.20689791,0.25707034,0.22503126
